i,j,label_i,label_j,pearson,spearman,signed_diff,absdiff,signed_ratio,abs_ratio,mean_abs_strength,abs_dominance,sign_agreement,sign_relation
0,1,канал[0],канал[1],0.997074402521174,0.9963383763383763,0.0007360261827976666,0.0007360261827976666,1.000738731138213,1.000738731138213,0.9967063894297752,0.0007360261827976666,1.0,знак совпадает
0,2,канал[0],канал[2],0.9974727763503034,0.997012009012009,0.00046076733829436556,0.00046076733829436556,1.0004621482330498,1.0004621482330498,0.9972423926811562,0.00046076733829436556,1.0,знак совпадает
0,3,канал[0],канал[3],-0.01738879815359234,0.009717129717129718,-0.02710592787072206,0.02710592787072206,-1.7894994365402697,1.7894994365402697,0.01355296393536103,0.0076716684364626225,0.0,знак различается
0,4,канал[0],канал[4],0.9971198788061229,0.9965688605688605,0.0005510182372623351,0.0005510182372623351,1.00055291536698,1.00055291536698,0.9968443696874917,0.0005510182372623351,1.0,знак совпадает
0,5,канал[0],канал[5],0.9971741843607849,0.9965907485907486,0.000583435770036278,0.000583435770036278,1.0005854316537268,1.0005854316537268,0.9968824664757667,0.000583435770036278,1.0,знак совпадает
0,6,канал[0],канал[6],0.9972775721560556,0.9967728607728608,0.0005047113831948558,0.0005047113831948558,1.0005063454303957,1.0005063454303957,0.9970252164644582,0.0005047113831948558,1.0,знак совпадает
0,7,канал[0],канал[7],0.997361372301196,0.9967354207354208,0.0006259515657752734,0.0006259515657752734,1.000628001727192,1.000628001727192,0.9970483965183083,0.0006259515657752734,1.0,знак совпадает
0,8,канал[0],канал[8],0.9977968996031569,0.9972978372978373,0.0004990623053195975,0.0004990623053195975,1.0005004145067353,1.0005004145067353,0.9975473684504971,0.0004990623053195975,1.0,знак совпадает
0,9,канал[0],канал[9],0.9963982759973947,0.9956877476877477,0.0007105283096470183,0.0007105283096470183,1.0007136055568597,1.0007136055568597,0.9960430118425712,0.0007105283096470183,1.0,знак совпадает
0,10,канал[0],канал[10],0.997109115181042,0.9965175965175966,0.0005915186634453118,0.0005915186634453118,1.000593585768593,1.000593585768593,0.9968133558493193,0.0005915186634453118,1.0,знак совпадает
0,11,канал[0],канал[11],0.9973857447974552,0.9967583767583768,0.0006273680390784797,0.0006273680390784797,1.000629408343794,1.000629408343794,0.997072060777916,0.0006273680390784797,1.0,знак совпадает
0,12,канал[0],канал[12],0.9976470386710681,0.9972633012633013,0.0003837374077667599,0.0003837374077667599,1.0003847904633416,1.0003847904633416,0.9974551699671848,0.0003837374077667599,1.0,знак совпадает
0,13,канал[0],канал[13],0.9968180791279955,0.9962698442698443,0.000548234858151142,0.000548234858151142,1.0005502875162833,1.0005502875162833,0.9965439616989199,0.000548234858151142,1.0,знак совпадает
0,14,канал[0],канал[14],0.9969730076365351,0.9964356124356125,0.0005373952009225524,0.0005373952009225524,1.000539317537647,1.000539317537647,0.9967043100360737,0.0005373952009225524,1.0,знак совпадает
0,15,канал[0],канал[15],0.997262526853122,0.9965472125472127,0.0007153143059093203,0.0007153143059093203,1.0007177926915083,1.0007177926915083,0.9969048697001673,0.0007153143059093203,1.0,знак совпадает
0,16,канал[0],канал[16],0.9931431567017497,0.9922671802671805,0.000875976434569159,0.000875976434569159,1.0008828029909578,1.0008828029909578,0.9927051684844651,0.000875976434569159,1.0,знак совпадает
0,17,канал[0],канал[17],0.9926128522362061,0.9916491676491678,0.000963684587038327,0.000963684587038327,1.000971799925293,1.000971799925293,0.992131009942687,0.000963684587038327,1.0,знак совпадает
0,18,канал[0],канал[18],0.9931753023600661,0.991907515907516,0.0012677864525501015,0.0012677864525501015,1.0012781296967894,1.0012781296967894,0.9925414091337911,0.0012677864525501015,1.0,знак совпадает
0,19,канал[0],канал[19],-0.12735373281087992,-0.11998904398904402,-0.007364688821835899,0.007364688821835899,1.0613780106666102,1.0613780106666102,0.12367138839996197,0.007364688821835899,1.0,знак совпадает
1,2,канал[1],канал[2],0.9968655524087179,0.9961324321324322,0.0007331202762856925,0.0007331202762856925,1.0007359666773585,1.0007359666773585,0.996498992270575,0.0007331202762856925,1.0,знак совпадает
1,3,канал[1],канал[3],-0.015282627144831515,0.009466893466893469,-0.024749520611724984,0.024749520611724984,-1.6143233467532048,1.6143233467532048,0.012374760305862492,0.005815733677938046,0.0,знак различается
1,4,канал[1],канал[4],0.9966098753595434,0.9958227478227478,0.000787127536795551,0.000787127536795551,1.0007904293595586,1.0007904293595586,0.9962163115911455,0.000787127536795551,1.0,знак совпадает
1,5,канал[1],канал[5],0.9969187024219325,0.9961967761967762,0.0007219262251563219,0.0007219262251563219,1.000724682354336,1.000724682354336,0.9965577393093543,0.0007219262251563219,1.0,знак совпадает
1,6,канал[1],канал[6],0.9966063880781895,0.9957389037389038,0.0008674843392856291,0.0008674843392856291,1.0008711965918258,1.0008711965918258,0.9961726459085467,0.0008674843392856291,1.0,знак совпадает
1,7,канал[1],канал[7],0.9973307567371456,0.9966067686067687,0.0007239881303768847,0.0007239881303768847,1.0007264531540248,1.0007264531540248,0.9969687626719571,0.0007239881303768847,1.0,знак совпадает
1,8,канал[1],канал[8],0.9972774127721167,0.9965461685461686,0.0007312442259480578,0.0007312442259480578,1.0007337785734653,1.0007337785734653,0.9969117906591427,0.0007312442259480578,1.0,знак совпадает
1,9,канал[1],канал[9],0.9969182754324016,0.9962551442551443,0.0006631311772573589,0.0006631311772573589,1.000665623842528,1.000665623842528,0.996586709843773,0.0006631311772573589,1.0,знак совпадает
1,10,канал[1],канал[10],0.9965343117504637,0.9957589437589438,0.000775367991519893,0.000775367991519893,1.0007786703763795,1.0007786703763795,0.9961466277547038,0.000775367991519893,1.0,знак совпадает
1,11,канал[1],канал[11],0.9974050732490369,0.9968776808776809,0.0005273923713560169,0.0005273923713560169,1.000529044216229,1.000529044216229,0.9971413770633589,0.0005273923713560169,1.0,знак совпадает
1,12,канал[1],канал[12],0.9969894164934776,0.9961756201756204,0.0008137963178571628,0.0008137963178571628,1.0008169205322588,1.0008169205322588,0.996582518334549,0.0008137963178571628,1.0,знак совпадает
1,13,канал[1],канал[13],0.9968645012012054,0.9962960762960764,0.0005684249051289836,0.0005684249051289836,1.0005705381348506,1.0005705381348506,0.9965802887486409,0.0005684249051289836,1.0,знак совпадает
